candidate_id,candidate_intent,difficulty_hint,escalation_hint,golden_intent,escalation_required,escalation_reason,expected_action,resolution_criteria,review_notes,conversation_id,total_turns,customer_turns,company_turns,first_customer_message,customer_messages,company_responses,intent_score_hint,selection_reason
G0011,delivery_issue,medium,False,,,,,,,2360458,6,3,3,@AmazonHelp Yes it has.,"@AmazonHelp Yes it has. || @AmazonHelp The expected delivery date was the 14th.  It's the 15th and it's still not here.  I would like to know what happened.  I have not received any tracking updates since sunday night. || @AmazonHelp The last update I got was 11 am on Sunday 11/12 saying that there was a delay due to the package being sent to the wrong carrier facility. The original delivery date was supposed to be the 12th.It was pushed back to the 14th, but now it's the 15th and there hasn't been an update.","@681663 I'm sorry for the wait! Has the delivery date been delayed since the order has been placed: https://t.co/Y5jpI9gRhE? ^EP || @681663 Truly sorry for the delay, William. This isn't the delivery experience we strive for! Please, let us know if it hasn't arrived by the updated delivery date. ^JE || @681663 So sorry about the delay! What was the last update you received? You can check that out here: https://t.co/Y5jpI9gRhE ^LS",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0012,delivery_issue,medium,False,,,,,,,930117,10,5,5,"@AmazonHelp Over the past 3 days I've wasted 2 of those days waiting in for deliveries that were with your couriers (as per tracking information), one turned up 24hrs after it was supposed to, the other which was due to arrive yesterday might now not arrive until the 24th ! #AWFULSERIVCE","@AmazonHelp Over the past 3 days I've wasted 2 of those days waiting in for deliveries that were with your couriers (as per tracking information), one turned up 24hrs after it was supposed to, the other which was due to arrive yesterday might now not arrive until the 24th ! #AWFULSERIVCE || @AmazonHelp Already wasted over an hour on chat with your representatives over the past couple of days, got a goodwill gesture that in no way recompenses for wasting my time waiting on for deliveries that don't turn up.. Earlier agent lied and said wait until tomorrow ! || @AmazonHelp Your agent told me earlier today that I'd receive my delivery tomorrow, just got an email from Amazon saying if it doesn't arrive by Friday (24th) to let you know.. Have got more chance of winning the lottery than getting an Amazon delivery on time these days ! #BROKENPROMISES || @AmazonHelp Oh.. Thank you so much for your assistance... You advised me that the delivery was due to be delivered yesterday &amp; then today, so of course I'll be happy to let you know if it doesn't arrive almost a week late #PATHETICSERVICE || @AmazonHelp ""Delivery By Amazon Shipping""","@340676 I'm sorry to hear you had a poor experience. Without giving account or order details can you tell us more about what's going on? ^AN || @340676 We certainly don't intend for this to happen. We're not able to view your orders via Twitter. However, please reach us here: https://t.co/JzP7hlA23B so that we may take a closer look! ^AB || @340676 Thanks for letting us know, Stuart! Upon speaking w/ support what were we able to accomplish, less what was mentioned, to remedy this for you? Did the delivery date change to the 24th by the carrier, or prior to shipping? ^TM || @340676 Thank you for clarifying for us. I can definitely understand how frustrating this is. Please keep us updated on the delivery of your order, and let us know if it doesn't arrive by the 24th. ^DW || @340676 I can understand the frustration. Who's the courier shown in Your Orders here: https://t.co/aaDyEz1VgE? ^JM",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0013,delivery_issue,medium,False,,,,,,,629503,12,6,6,@AmazonHelp Chatting to someone just now. tracking shows first delivery attempt made at 8:30pm yet no one has buzzed my flat. I'd rather be told he's ran late and it'll be here tomorrow than lied too.,"@AmazonHelp Chatting to someone just now. tracking shows first delivery attempt made at 8:30pm yet no one has buzzed my flat. I'd rather be told he's ran late and it'll be here tomorrow than lied too. || @AmazonHelp Turns out the carrier (Amazon Shipping) mistakenly tracked the item as ""delivery attempt made"" although no reason for delay. Chat agent raised complaint &amp; extended my Prime by 30 days - No good if items are delayed though. Hope it will come tomorrow &amp; other deliveries on time 🙄 || @AmazonHelp Day 2 and still no order despite reassurances i would have the items today, starting to feel that this is personal as i can't see a reason for the repeat delays without a valid reason. I might have to cancel my Prime Membership as it makes no difference to when items arrive. 😡 || @AmazonHelp What's the point of this? || @AmazonHelp How does one raise a formal complaint? || @AmazonHelp Yeah i have used it.","@269129 I'm sorry for the wait! I can understand how frustrating this is. Have you had a chance to reach us for your available options here: https://t.co/JzP7hlA23B? ^DW || @269129 I know how frustrating this can be. Please keep us posted. We are here to help! ^BA || @269129 Thanks for keeping us updated. Please let us know whether it arrives or not. ^SJ || @269129 I'm sorry for the difficulty. We'd like to look into this for you. Please leave us your details here: https://t.co/rkTiw4wMJv ^MH || @269129 Because we aren't able to access your account with Twitter, this will allow us to reach out to you and help the best we can. ^DD || @269129 If you use the link MH posted above, we can help you with your formal complaint. ^AF",8,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0014,delivery_issue,medium,False,,,,,,,629506,8,4,4,@AmazonHelp Chatting to someone just now. tracking shows first delivery attempt made at 8:30pm yet no one has buzzed my flat. I'd rather be told he's ran late and it'll be here tomorrow than lied too.,"@AmazonHelp Chatting to someone just now. tracking shows first delivery attempt made at 8:30pm yet no one has buzzed my flat. I'd rather be told he's ran late and it'll be here tomorrow than lied too. || @AmazonHelp Turns out the carrier (Amazon Shipping) mistakenly tracked the item as ""delivery attempt made"" although no reason for delay. Chat agent raised complaint &amp; extended my Prime by 30 days - No good if items are delayed though. Hope it will come tomorrow &amp; other deliveries on time 🙄 || @AmazonHelp Day 2 and still no order despite reassurances i would have the items today, starting to feel that this is personal as i can't see a reason for the repeat delays without a valid reason. I might have to cancel my Prime Membership as it makes no difference to when items arrive. 😡 || @AmazonHelp What's the point of this?",@269129 I'm sorry for the wait! I can understand how frustrating this is. Have you had a chance to reach us for your available options here: https://t.co/JzP7hlA23B? ^DW || @269129 I know how frustrating this can be. Please keep us posted. We are here to help! ^BA || @269129 Thanks for keeping us updated. Please let us know whether it arrives or not. ^SJ || @269129 I'm sorry for the difficulty. We'd like to look into this for you. Please leave us your details here: https://t.co/rkTiw4wMJv ^MH,8,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0015,delivery_issue,medium,False,,,,,,,93670,10,5,5,"@AmazonHelp Yes, but this is becoming unacceptable. Every other order from you is late. Spoke to a rep and saw that one part of my order was available via @117795 but wouldn’t schedule the delivery for today.","@AmazonHelp Yes, but this is becoming unacceptable. Every other order from you is late. Spoke to a rep and saw that one part of my order was available via @117795 but wouldn’t schedule the delivery for today. || @AmazonHelp I’ve ended up cancelling some of the delayed orders and buying them locally so I can’t go back in and search the carrier. UPS was the problem this time and has been a problem with past orders if memory serves correct. || @AmazonHelp Another delayed shipment. Who do I need to call to fix this? || @AmazonHelp General customer support has no idea what I’m talking about and is just offering me the standard prime extension. I want the problem fixed not bribes to make me go away. Who do I need to speak with that’s a specialist in this area? || @AmazonHelp Had a conference call with your customer service rep and UPS. Amazon is creating shipping labels too late. So I ordered a package on Nov 28, Amz said it would be delivered the 30th, but Amz isn’t creating a label until 5:30pm on the 29th so UPS thinks it should be delivered 12/1","@136304 So sorry your order was delayed! Did you receive an e-mail providing a new delivery date?  ^LS || @136304 When your package are being delayed are you noticing that it is with a certain carrier? We would like to help in any way possible! ^LS || @136304 Thank you for confirming. I'm glad that you've contacted us about the delay as it allows us to notify our Shipping team. We want to make sure this doesn't continue. Please keep us posted on your future deliveries. ^RA || @136304 Please contact us here: https://t.co/hApLpMlfHN so we can make sure this is addressed. ^CO || @136304 You mentioned the past delivery issues were with the same carrier, have you had a chance to contact the carrier directly for more information about the delays? If so, what insight did they provide? ^LI",7,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0016,delivery_issue,medium,False,,,,,,,2463040,6,3,3,@AmazonHelp No! No reason given.  Just that there is a delay. This is the third time this has happened in 3 orders through Prime. The other 2 I HAD to cancel as I would not have been there for the delayed deliveries. This one I want. Pathetic!  I am now worried about Xmas. Please help me.,"@AmazonHelp No! No reason given.  Just that there is a delay. This is the third time this has happened in 3 orders through Prime. The other 2 I HAD to cancel as I would not have been there for the delayed deliveries. This one I want. Pathetic!  I am now worried about Xmas. Please help me. || @AmazonHelp Hah! Look at this: ""If you parcel hasn't arrived Tueday, Nov 21st, please come back for more options.""  What? Magic? || @AmazonHelp Carrier: Amazon Shipping, Tracking #: A10047672933",@504289 I am sorry to hear this Shelagh. I cannot check orders here but can I ask was there a reason given to you for the delay via email? Thanks ^GA || @504289 I can only apologise for the inconvenience caused Shelagh. Can you let me know if were you given another delivery date? ^KI || @504289 Can you let us know who is the carrier that's deliver your parcel? You will be able to find that out here:  https://t.co/aaDyEz1VgE ^MA,6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0017,delivery_issue,medium,True,,,,,,,2472492,10,5,5,@AmazonHelp Estimated today originally 13th Nov. Carrier is Amazon Shipping. I am prime member too. I have contacted the sellers and they are not able to help 😔 https://t.co/HPHqvRXgOn,@AmazonHelp Estimated today originally 13th Nov. Carrier is Amazon Shipping. I am prime member too. I have contacted the sellers and they are not able to help 😔 https://t.co/HPHqvRXgOn || @AmazonHelp It says it's out for delivery...but this has been going in for days now https://t.co/ZgcrsAHT07 || @AmazonHelp I have actually contacted everyday and all they tell me is that it will be out for delivery after rescheduling again. I'm not getting anywhere with this and I am not being offered any compensation either. Why? And when will it be delivered? || @AmazonHelp They said they are going to contact the courier and get back to me and the courier will email me with an estimated delivery time. But surely I would have got the estimated time by now if it is out for delivery today. I feel like I'm losing my head! https://t.co/noxKKXFvpW || @AmazonHelp If I wanted to would I be able to cancel and get a refund... I need these items and I will order from someone else if they do not arrive. #stillnoluck @115830 @AmazonHelp,"@270003 Hello Jessi, can I ask what is the estimated delivery date for your order? What carrier is delivering it, please? You can find this info here: https://t.co/aaDyEz1VgE. Thanks ^GA || @270003 Hi Jessi. Really sorry you are experiencing this with your order! Can you please tell me what the tracking states now? You can check via this link: https://t.co/aaDyEz1VgE. ^JC || @270003 I am sorry for the delay, Jessi. Please get in contact with us via the following link so we can look further into this with you  https://t.co/JzP7hlA23B ^SA || @270003 Truly sorry for any inconvenience and for the wait! Please, give us another chance to address this using the link ^SA provided, as with Twitter we have no account or order access. Keep us posted on what information or options are provided, we're here for you! ^JE || @270003 I am sorry to hear this Jessi. Can I ask what website this order was placed on please? https://t.co/nUUp5MLhYl or https://t.co/ykTUEmdsQA etc? Thanks. ^GA",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0018,delivery_issue,medium,False,,,,,,,2685160,6,3,3,@AmazonHelp It is not specifically the last two orders which shipped USPS for delivery yesterdaish.  It was the one before that which was definitely not delivered to our Mailbox.  Or the one before that which showed up two days after delivery.  Or the ones last year too.  It is a joke now.,"@AmazonHelp It is not specifically the last two orders which shipped USPS for delivery yesterdaish.  It was the one before that which was definitely not delivered to our Mailbox.  Or the one before that which showed up two days after delivery.  Or the ones last year too.  It is a joke now. || @AmazonHelp Not really upset, just want reliable tracking or a decent delivery service.  No more guaranteed by 8pm on this day, and then having it marked delivered when it is not, or ""Delayed"" by the carrier.  Just say ""Gave it to USPS, it will probably be delivered"". || @AmazonHelp I have provided feed back at least four times in the last 2 years.  Please feel free to pass it on.  I did not hit call me now or send an email for a reason.  It does no good.  It will arrive when it arrives.  That is the problem.  Being told soothing platitudes is pointless.","@755169 Thanks for reaching out to us, Robert! Are you currently having issues with an order? If so, what order status and delivery date(s) are you seeing? You can view your orders here:  https://t.co/Y5jpI9gRhE ^SW || @755169 I truly am sorry for the problems with your delivery! Let's get this sorted together in real time with you here: https://t.co/hApLpMlfHN ^JZ || @755169 We'd like to pass your feedback along to our transportation team. Please use the link ^JZ provided to e-mail following this sequence: Prime and Something else &gt;More non-order questions&gt; Give Amazon feedback. Let us know if it doesn't arrive tomorrow. ^KB",6,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0019,delivery_issue,hard,False,,,,,,,2578592,8,4,4,"@AmazonHelp It's no longer a wait - I stayed in for a redelivery that had already been messed up once, only to find that the item had been 'returned as undeliverable'. I've had 3 long sessions with your 'live chat' but I still don't have my item &amp; it was urgent. Not sure why I pay for Prime.","@AmazonHelp It's no longer a wait - I stayed in for a redelivery that had already been messed up once, only to find that the item had been 'returned as undeliverable'. I've had 3 long sessions with your 'live chat' but I still don't have my item &amp; it was urgent. Not sure why I pay for Prime. || @AmazonHelp Well I tried 'reaching out' to your live chat people 3 times over the past 3 days but they have not fulfilled their promises. I have had to go to Sainsbury's &amp; lug my cat litter back here, which is just what I was trying to avoid, || @AmazonHelp They offered delivery later in the week, but I needed this stuff today. They are going to deliver it on Thursday even though I cannot guarantee being in. They had previously guaranteed delivery today, for which I stayed in, but they did not fulfill this. || @AmazonHelp 2/2 and whoever wrote it appears now to have rearranged my delivery yet again, to a day that I had already told them was impractical - I don't think they actually read my first email to them.  If you look at my email to your Customer Service, sent earlier today, I have....","@731047 I'm so sorry for the wait! Could you tell us what the tracking information says? What about who the carrier is? You can find that information here: https://t.co/aaDyEz1VgE ^MH || @731047 I'm so sorry that your parcel was not delivered. This link has a few details on why it might have happened: https://t.co/rviIYTgUzc  Please reach out to us if you need further assistance.  ^SP || @731047 When you had contacted us, what information or options were provided? Has a refund been processed for your order: https://t.co/aaDyEz1VgE? ^ST || @731047 We'd like to look into this issue for you! At your convenience, and with as much detail as possible, please provide your order information for us here: https://t.co/cUIXJxxmDD ^BV",1,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0020,delivery_issue,hard,True,,,,,,,2276785,12,6,6,@AmazonHelp @115850 @AmazonHelp  after three days i cant see and efforts from your end for solving my issue please provide me your official email address where you can receive a legal notice from my end now this has being a month from 14th Oct till today.,"@AmazonHelp @115850 @AmazonHelp  after three days i cant see and efforts from your end for solving my issue please provide me your official email address where you can receive a legal notice from my end now this has being a month from 14th Oct till today. || @AmazonHelp Soon i believe is not till next year as this has already consumed one month and the confirmation mail is for Amazon itself stating I'm liable for the @132994 (OP5) launch offer that was cashback and for reference i have even provided the team what they had asked in the mail || @AmazonHelp @115850  @AmazonHelp Hi Team will i get any resolution on the cashback I'm liable to receive on my @132994 Oneplus 5 as even company has even launched oneplus 5t and yet amazon is not able to provide my cashback for the last model || @AmazonHelp When will your delay time end @115850 @AmazonHelp do you want me to provide more details that how I'm eligible for cashback of Oneplus5 launch offer. And by mentioning customer oriented service you all aren't orelse it wouldnt had taken 1,1/2 months tenure to process it. || @AmazonHelp I havent got any solution on it and neither got my cashback its every time i tweet and your social media team messages we will get back within 5 hours and its been one and half month I'm running behind your team regarding this and certainly you all dont intend to solve it as well || @AmazonHelp Aint sharing my order details just sharing the correspondence mail with no action taken further from your end rather then writing a correspondence mail and the reply that you provide in your mail. Just try to have little empathy and understand the situation 1 and half month is","@635870 I'm sorry for the stretch. We're working on this and we'll reach out to you soon with an update. ^SG || @635870 We understand there has been a delay in resolving your query. Rest assured our team is working on this and will get back to you soon with an update. You could also reply to the email sent by our specialist team for immediate assistance. ^VM || @635870 I understand that waiting can be tiresome. Our team is currently working on having this resolved at the earliest, you'd receive an update soon. Appreciate your patience.  ^EM || @635870 We understand this has been delayed, we'll get back to you soon. ^SU || @635870 Apologies for the ordeal with your cashback, certainly not intended. We've sent a correspondence to your registered email ID here: https://t.co/fYrzNInVt2. Kindly check and reply. ^PS || @635870 Twitter being a public platform we do not have access to your order details. Please reply to the email correspondence and we'll be glad to help you. ^SI",1,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0021,delivery_issue,hard,False,,,,,,,2428239,8,4,4,"@AmazonHelp All I get is an email saying they couldn't deliver. I've been on the phone with them three times about the first parcel, changed the delivery address, nothing has worked. I spoke with Amazon last night, but tried calling courier again today and can't get through.","@AmazonHelp All I get is an email saying they couldn't deliver. I've been on the phone with them three times about the first parcel, changed the delivery address, nothing has worked. I spoke with Amazon last night, but tried calling courier again today and can't get through. || @AmazonHelp The quality of the call wasn't great, but it sounded like they were going to submit a feedback about them? They resent one of the parcels, and for the second they advised me to wait another day and they'd call back today to check. || @AmazonHelp Oh hey, me again! I'm a bit at wits end with this. I need my parcel for tomorrow (item originally ordered on the 2nd) and these people just aren't getting the job done. I was told it would come today -  they have 2 hours left per the delivery window I gave them. It's frustrating. || @AmazonHelp My work building isn't open until 8. The company has actually claimed the building was closed even before it actually does at 5. Will you be able to re-ship this using a different company?","@697193 I am very sorry to hear this, can I ask have you received an email update regarding this please? Can I ask for you to check your spam/junk folder please. Thanks ^GA || @697193 Sorry to hear that- what did our associate advise? They should be able to get through to the carrier for you and find out if there is an ongoing issue that needs to be fixed. ^MA || @697193 Thanks for the update! Please keep us in the loop if further assistance is needed from us here on Social Media! ^TM || @697193 I'm sorry for the frustration! We deliver as late as 8PM. If you don't receive your package by then, please let us know! ^AR",1,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
G0022,delivery_issue,hard,True,,,,,,,141102,10,5,5,"@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. That's even greater achievement that u guys showing me. U don't even know my concern. My concern is, why? Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long?","@AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. That's even greater achievement that u guys showing me. U don't even know my concern. My concern is, why? Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? || @AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. Let me repeat. My concern is, why Fooled? Why Fraud Offers? Why wrong tracking info with a correct DTDC AWB? Why kept my money for this long? Dont try to modify my own concerns sounds like u trying to hide. || @AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp. Should i take a snap of ur email and post it? Everyone in Amazon speaks same lang? Do u guys bought any template or what? By the way the email i got is neither a resolution nor answer. Come to the topic. stop templating || @AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp Means finally the resolution is, Something is wrong in Amazon's terms with Sellers. Anyone of them can run fooling ur customers and what u can do is say lots of sorry. Beaware of Amazon. am I right? || @AmazonHelp @115821 @1402 @8105 @1840
@AmazonHelp What should i reply in this? Is it a resolution? Why you guys are playing around? See no big moto just will keep you reminding everyday. https://t.co/v9WNe8Rqh1","@147589 I get that you are concern about the refund. Kindly reply to the email sent to you by our team with further insight for us to help you. ^PJ || @147589 I understand your concern regarding the delay with the refund of your order. However, I'd request you to respond to the email sent by our team for further assistance. ^KH || @147589 In case the resolution provided on email by our Social Media team isn't up to your expectation, feel free to write back on the same. We'll get your situation reviewed accordingly. Appreciate your cooperation. ^KH || @147589 I'm sorry but the resolution provided by our team was the best we could offer. Kindly reply to the latest correspondence from our team for further assistance. ^GD || @147589 As mentioned earlier, please reply to the email you've received from our team and we'll get back. ^KA",1,"Heuristic candidate for manual golden-set review; verify intent, escalation, action and resolution criteria."
