golden_id,conversation_id,query,gold_intent,top1_intent,top1_score,first_matching_intent_rank,top1_match,mrr,latency_ms,recall_at_1,recall_at_3,recall_at_5,recall_at_10,top1_rag_id,top2_rag_id,top2_intent,top2_score,top3_rag_id,top3_intent,top3_score,top4_rag_id,top4_intent,top4_score,top5_rag_id,top5_intent,top5_score,top6_rag_id,top6_intent,top6_score,top7_rag_id,top7_intent,top7_score,top8_rag_id,top8_intent,top8_score,top9_rag_id,top9_intent,top9_score,top10_rag_id,top10_intent,top10_score
GLD0011,608110,"@AmazonHelp Can't log into my Amazon account. Keeps saying password is incorrect even after changing it, or using a verification code. I've tried clearing browser cache/cookie data on all my devices and it still won't let me in. It was after making a purchase last night. || @AmazonHelp I did not, besides those for password reset and verification codes. Still can't access my account. || @AmazonHelp I've tried with .com and .es
No difference, can't enter my Amazon account even after another password change, still shows as ""incorrect"".",account_access,account_access,0.7819,1,1,1.0,32.92,1,1,1,1,RAG02290,RAG02425,account_access,0.7717,RAG02261,account_access,0.7546,RAG02194,account_access,0.7508,RAG02314,account_access,0.743,RAG02151,account_access,0.7317,RAG02315,account_access,0.7162,RAG02365,account_access,0.7162,RAG02136,account_access,0.7097,RAG02378,account_access,0.7084
GLD0012,665145,@AmazonHelp Yes I've changed email address || @AmazonHelp I forgot my password and its sending my reset link to __email__ to which I no longer have access. Its __email__ now. || @AmazonHelp .com || @AmazonHelp I can't log in without my password. || @AmazonHelp I have sent an email outlining exactly what I have outlined in the stream of tweets. Thank you for your assistance.,account_access,account_access,0.7682,1,1,1.0,27.91,1,1,1,1,RAG02425,RAG02226,account_access,0.7362,RAG02290,account_access,0.7281,RAG02122,account_access,0.7233,RAG02331,account_access,0.7185,RAG02161,account_access,0.7178,RAG02261,account_access,0.7174,RAG02313,account_access,0.7123,RAG02330,account_access,0.7108,RAG02142,account_access,0.7101
GLD0013,1308036,"@AmazonHelp I have one email from “Wanda S” and one generic customer feedback email. I’ve been trying to speak with Wanda again but have not been able || @AmazonHelp I cannot log in, the error says ""password is incorrect"" even after resetting. This happened on Tuesday 10/24, I was able to call and unlock",account_access,account_access,0.7096,1,1,1.0,23.58,1,1,1,1,RAG02261,RAG02290,account_access,0.7055,RAG02194,account_access,0.7017,RAG02161,account_access,0.7006,RAG02365,account_access,0.6792,RAG02425,account_access,0.6781,RAG02330,account_access,0.6705,RAG02314,account_access,0.6685,RAG02151,account_access,0.6676,RAG02116,account_access,0.6598
GLD0014,179290,"@AmazonHelp How can I do that when my account is on hold and I am unable to log in, and this is the first thing this page requires? 

When I call customer services all I am getting is ""Its not my fault, I cant do anything, you just have to wait for the account team""

Hardly customer-focussed || @AmazonHelp So the form says that someone will be in touch inside 12hrs, it's now considerably over that without contact.

This is now the sixth day I've been on hold for something that should have been resolved in two days. || @AmazonHelp Just checked everything again including spam and all other filters, no response and the only contact from Amazon this morning has been an order update and a marketing email. || @AmazonHelp And done - https://t.co/7IaKLRgz4z",account_access,account_access,0.7634,1,1,1.0,32.19,1,1,1,1,RAG02397,RAG04867,account_access,0.7312,RAG02256,account_access,0.7182,RAG04421,general_support,0.7141,RAG03990,security_fraud,0.7131,RAG02207,account_access,0.7121,RAG02204,account_access,0.7032,RAG02487,account_access,0.7029,RAG02216,account_access,0.7004,RAG02292,account_access,0.6987
GLD0015,870183,@AmazonHelp I anmol with sharing my details. Let people know that I am a genuine customer. I want some responsible person to handle this. || @AmazonHelp No I have not. I have forgotten my password. Need to get my internet up n running. I will. But what is the point? NO RESOLITION. || @AmazonHelp No I am not worried. I have a lot of options. Amazon has let me down as a business. I don't feel u value ur customers. || @AmazonHelp I have spoken your call center n giving feedback since last 1 year nothing has happened. This is irresponsible behaviour n lack of ownership || @AmazonHelp C I have already given u my registered email address y nobody is willing to call me. This is avoidance.,account_access,account_access,0.7878,1,1,1.0,28.68,1,1,1,1,RAG02260,RAG04896,prime_membership,0.7157,RAG00128,delivery_shipping,0.7115,RAG04961,general_support,0.6972,RAG02485,account_access,0.6918,RAG00488,payment,0.6917,RAG02466,account_access,0.6898,RAG02305,account_access,0.6884,RAG04120,general_support,0.6871,RAG03891,security_fraud,0.685
GLD0016,420958,"@AmazonHelp Just an automated email. I have provided your support guys the new account detail daily, no further progress. Automated emails still arrivie || @AmazonHelp Subject ""Your Amazon Payments Account"". In order to continue shopping with Amazon Payments, we request that you open a new Amazon account, || @AmazonHelp I cannot login to the original account, it is locked || @AmazonHelp Open a new account, provide details and the orders, kindle, etc will be transferred. I have done this via CS as reply to email bounces back || @AmazonHelp Yes, still bounces. I have supplied the information daily for two weeks direct to CS via chat who say they pass it on",account_access,account_access,0.8156,1,1,1.0,26.89,1,1,1,1,RAG02264,RAG02425,account_access,0.7381,RAG04867,account_access,0.7369,RAG02397,account_access,0.7207,RAG02225,account_access,0.7169,RAG02321,account_access,0.7157,RAG02305,account_access,0.7144,RAG02194,account_access,0.7141,RAG04853,technical_app,0.71,RAG02268,account_access,0.7062
GLD0017,351903,@AmazonHelp Amazon.fr and https://t.co/UZPvSHf60f i noticed the issue on amazon.fr. Haven’t tried the com one yet || @AmazonHelp The link you sent is asking me to log in and my log in is not working. || @AmazonHelp The page where it semds me has no assistance on my issue. I will just delete my account completely cause I can’t be bothered for this long || @AmazonHelp I have been on the phone with your call center for over 1 hour. It’s a shame to have such incompetent people on your call center. || @AmazonHelp They kept asking what issue I had with my order when I have no order issue at all. Someone changed my email adress without my consent and,account_access,account_access,0.7068,1,1,1.0,29.08,1,1,1,1,RAG02425,RAG04478,general_support,0.703,RAG04867,account_access,0.6997,RAG03395,technical_app,0.6868,RAG04281,general_support,0.6853,RAG02081,account_access,0.6784,RAG02313,account_access,0.6768,RAG02111,account_access,0.6755,RAG02484,account_access,0.6747,RAG02305,account_access,0.6744
GLD0018,1623916,@AmazonHelp It has requested me to login and I've closed my  amazon account few month s back. What  to do now. || @AmazonHelp In this case please close all my account and check who is registered with this account. How can you allow ppl to register with UK no || @AmazonHelp When I'm trying to visit contact us page ut ask me to provide my account details. I told you i don't have any more account with amazon. Give me email id where I can complaint about you service. || @AmazonHelp Thanks . I did submit your form. || @AmazonHelp Yes. Thanks for your expedite response. I do check my email as well,account_access,account_access,0.8518,1,1,1.0,25.02,1,1,1,1,RAG02499,RAG02166,account_access,0.703,RAG02334,account_access,0.7007,RAG02219,account_access,0.6942,RAG02420,account_access,0.6939,RAG02215,account_access,0.6883,RAG02390,account_access,0.6867,RAG04853,technical_app,0.6801,RAG02202,account_access,0.6791,RAG02081,account_access,0.6786
GLD0019,629506,"@AmazonHelp Chatting to someone just now. tracking shows first delivery attempt made at 8:30pm yet no one has buzzed my flat. I'd rather be told he's ran late and it'll be here tomorrow than lied too. || @AmazonHelp Turns out the carrier (Amazon Shipping) mistakenly tracked the item as ""delivery attempt made"" although no reason for delay. Chat agent raised complaint &amp; extended my Prime by 30 days - No good if items are delayed though. Hope it will come tomorrow &amp; other deliveries on time ?? || @AmazonHelp Day 2 and still no order despite reassurances i would have the items today, starting to feel that this is personal as i can't see a reason for the repeat delays without a valid reason. I might have to cancel my Prime Membership as it makes no difference to when items arrive. ?? || @AmazonHelp What's the point of this?",delivery_shipping,prime_membership,0.7868,2,0,0.5,29.17,0,1,1,1,RAG02651,RAG00149,delivery_shipping,0.7459,RAG00091,delivery_shipping,0.745,RAG00034,delivery_shipping,0.7375,RAG00159,delivery_shipping,0.7371,RAG02787,prime_membership,0.7364,RAG00335,delivery_shipping,0.734,RAG04888,delivery_shipping,0.7319,RAG00247,delivery_shipping,0.7303,RAG04722,delivery_shipping,0.7294
GLD0020,93674,"@AmazonHelp Yes, but this is becoming unacceptable. Every other order from you is late. Spoke to a rep and saw that one part of my order was available via @117795 but wouldn’t schedule the delivery for today. || @AmazonHelp I’ve ended up cancelling some of the delayed orders and buying them locally so I can’t go back in and search the carrier. UPS was the problem this time and has been a problem with past orders if memory serves correct. || @AmazonHelp Another delayed shipment. Who do I need to call to fix this? || @AmazonHelp General customer support has no idea what I’m talking about and is just offering me the standard prime extension. I want the problem fixed not bribes to make me go away. Who do I need to speak with that’s a specialist in this area? || @AmazonHelp Had a conference call with your customer service rep and UPS. Amazon is creating shipping labels too late. So I ordered a package on Nov 28, Amz said it would be delivered the 30th, but Amz isn’t creating a label until 5:30pm on the 29th so UPS thinks it should be delivered 12/1 || @AmazonHelp 6 hours no response. Good to know.",delivery_shipping,prime_membership,0.7894,2,0,0.5,35.71,0,1,1,1,RAG02651,RAG00298,delivery_shipping,0.7639,RAG04664,prime_membership,0.7565,RAG00177,delivery_shipping,0.7523,RAG00233,delivery_shipping,0.7496,RAG02609,prime_membership,0.7459,RAG00027,delivery_shipping,0.7452,RAG00085,delivery_shipping,0.7451,RAG04803,delivery_shipping,0.7426,RAG04888,delivery_shipping,0.739
GLD0021,503478,"@AmazonHelp I was told by one person that promised one of my packages would be delivered by 6pm by UPS, even when I called I was informed it wouldn't arrive until next week. || @AmazonHelp On the way, but it may be late
From UPS at 10AM today.
A carrier delay has occurred
Your package can still arrive today by 8PM.
We're working to get your package back on track. Please check back later for more delivery info from UPS.
Was expected today by 8PM",delivery_shipping,delivery_shipping,0.7513,1,1,1.0,21.16,1,1,1,1,RAG00135,RAG00374,delivery_shipping,0.7489,RAG00161,delivery_shipping,0.7451,RAG00326,delivery_shipping,0.7377,RAG04901,delivery_shipping,0.7375,RAG00368,delivery_shipping,0.734,RAG00424,delivery_shipping,0.7323,RAG00431,delivery_shipping,0.7284,RAG00072,delivery_shipping,0.7263,RAG00039,delivery_shipping,0.7261
GLD0022,2966398,"@AmazonHelp Yes. 3 so far this week. 2 arrived today (2days late) and one was supposed to arrive today and I have again received a sorry it's delayed email instead of my package. This last one did not even get picked up to be delivered today. || @AmazonHelp I included a photo of all three tracking numbers. The top is the one that was supposed to arrive today and didn't even go out for delivery, the other two were the delayed ones. It's all your AMZL US service. https://t.co/ZWLGuh5uX8",delivery_shipping,refund,0.677,2,0,0.5,23.13,0,1,1,1,RAG01022,RAG00337,delivery_shipping,0.6677,RAG00348,delivery_shipping,0.664,RAG00339,delivery_shipping,0.6637,RAG00401,delivery_shipping,0.6615,RAG00278,delivery_shipping,0.661,RAG03157,technical_app,0.6606,RAG00048,delivery_shipping,0.6575,RAG00227,delivery_shipping,0.6574,RAG04813,delivery_shipping,0.6564
GLD0023,2472492,@AmazonHelp Estimated today originally 13th Nov. Carrier is Amazon Shipping. I am prime member too. I have contacted the sellers and they are not able to help ?? https://t.co/HPHqvRXgOn || @AmazonHelp It says it's out for delivery...but this has been going in for days now https://t.co/ZgcrsAHT07 || @AmazonHelp I have actually contacted everyday and all they tell me is that it will be out for delivery after rescheduling again. I'm not getting anywhere with this and I am not being offered any compensation either. Why? And when will it be delivered? || @AmazonHelp They said they are going to contact the courier and get back to me and the courier will email me with an estimated delivery time. But surely I would have got the estimated time by now if it is out for delivery today. I feel like I'm losing my head! https://t.co/noxKKXFvpW || @AmazonHelp If I wanted to would I be able to cancel and get a refund... I need these items and I will order from someone else if they do not arrive. #stillnoluck @115830 @AmazonHelp,delivery_shipping,delivery_shipping,0.7507,1,1,1.0,34.03,1,1,1,1,RAG04964,RAG00010,delivery_shipping,0.7372,RAG04647,delivery_shipping,0.7363,RAG04722,delivery_shipping,0.7361,RAG00149,delivery_shipping,0.736,RAG00159,delivery_shipping,0.7257,RAG00085,delivery_shipping,0.7256,RAG04839,delivery_shipping,0.7251,RAG00256,delivery_shipping,0.7238,RAG02679,prime_membership,0.7236
GLD0024,930117,"@AmazonHelp Over the past 3 days I've wasted 2 of those days waiting in for deliveries that were with your couriers (as per tracking information), one turned up 24hrs after it was supposed to, the other which was due to arrive yesterday might now not arrive until the 24th ! #AWFULSERIVCE || @AmazonHelp Already wasted over an hour on chat with your representatives over the past couple of days, got a goodwill gesture that in no way recompenses for wasting my time waiting on for deliveries that don't turn up.. Earlier agent lied and said wait until tomorrow ! || @AmazonHelp Your agent told me earlier today that I'd receive my delivery tomorrow, just got an email from Amazon saying if it doesn't arrive by Friday (24th) to let you know.. Have got more chance of winning the lottery than getting an Amazon delivery on time these days ! #BROKENPROMISES || @AmazonHelp Oh.. Thank you so much for your assistance... You advised me that the delivery was due to be delivered yesterday &amp; then today, so of course I'll be happy to let you know if it doesn't arrive almost a week late #PATHETICSERVICE || @AmazonHelp ""Delivery By Amazon Shipping""",delivery_shipping,delivery_shipping,0.8769,1,1,1.0,35.4,1,1,1,1,RAG00335,RAG04873,delivery_shipping,0.7881,RAG04722,delivery_shipping,0.7775,RAG00159,delivery_shipping,0.77,RAG00263,delivery_shipping,0.7677,RAG00039,delivery_shipping,0.761,RAG00085,delivery_shipping,0.7603,RAG00177,delivery_shipping,0.7588,RAG04767,delivery_shipping,0.7577,RAG00186,delivery_shipping,0.7553
GLD0025,2360458,"@AmazonHelp Yes it has. || @AmazonHelp The expected delivery date was the 14th.  It's the 15th and it's still not here.  I would like to know what happened.  I have not received any tracking updates since sunday night. || @AmazonHelp The last update I got was 11 am on Sunday 11/12 saying that there was a delay due to the package being sent to the wrong carrier facility. The original delivery date was supposed to be the 12th.It was pushed back to the 14th, but now it's the 15th and there hasn't been an update.",delivery_shipping,delivery_shipping,0.7462,1,1,1.0,25.25,1,1,1,1,RAG00044,RAG01022,refund,0.741,RAG00292,delivery_shipping,0.7399,RAG00315,delivery_shipping,0.7339,RAG00396,delivery_shipping,0.7248,RAG00154,delivery_shipping,0.7246,RAG00206,delivery_shipping,0.7219,RAG00431,delivery_shipping,0.7201,RAG00352,delivery_shipping,0.7192,RAG00229,delivery_shipping,0.7148
GLD0026,2463040,"@AmazonHelp No! No reason given.  Just that there is a delay. This is the third time this has happened in 3 orders through Prime. The other 2 I HAD to cancel as I would not have been there for the delayed deliveries. This one I want. Pathetic!  I am now worried about Xmas. Please help me. || @AmazonHelp Hah! Look at this: ""If you parcel hasn't arrived Tueday, Nov 21st, please come back for more options.""  What? Magic? || @AmazonHelp Carrier: Amazon Shipping, Tracking #: A10047672933",delivery_shipping,prime_membership,0.7586,2,0,0.5,23.5,0,1,1,1,RAG02651,RAG00177,delivery_shipping,0.7411,RAG00298,delivery_shipping,0.74,RAG00233,delivery_shipping,0.7387,RAG00027,delivery_shipping,0.7343,RAG04781,general_support,0.7338,RAG02699,prime_membership,0.7298,RAG00085,delivery_shipping,0.7275,RAG00256,delivery_shipping,0.7258,RAG04888,delivery_shipping,0.7158
GLD0027,2862056,"@AmazonHelp Yes, I know how to track my own order.  It says arriving today by 8pm (2 hours from now). No delay notification. There is no tracking or carrier *because it hasn't shipped*, as I previously stated.  Your prior tweets say to rely on the delivery date at checkout, which is today.",delivery_shipping,delivery_shipping,0.7518,1,1,1.0,22.33,1,1,1,1,RAG04813,RAG00157,delivery_shipping,0.7249,RAG04892,delivery_shipping,0.7196,RAG00348,delivery_shipping,0.7192,RAG02997,technical_app,0.7108,RAG00045,delivery_shipping,0.7096,RAG00315,delivery_shipping,0.7086,RAG04972,prime_membership,0.7077,RAG04639,delivery_shipping,0.7028,RAG00226,delivery_shipping,0.7011
GLD0028,459059,@AmazonHelp You guys already sent a replacement when it was initially not being delivered. This is mainly to show the quality of @115821 's shipping partner @118706 that is #fail ing to deliver. The replacement should arrive via @115817 tomorrow-- days after #AmazonPrime delivery date.,delivery_shipping,return_replacement,0.6015,5,0,0.2,19.16,0,0,1,1,RAG01437,RAG01731,return_replacement,0.5738,RAG02796,prime_membership,0.5582,RAG01657,return_replacement,0.557,RAG00282,delivery_shipping,0.5483,RAG01639,return_replacement,0.5355,RAG01739,return_replacement,0.5329,RAG02586,prime_membership,0.5303,RAG02699,prime_membership,0.5299,RAG00424,delivery_shipping,0.5297
GLD0029,2564048,"@AmazonHelp The delivery date is tomorrow, but the order page said Ultra Moon would be shipped yesterday.
I just ordered something else this morning and its already preparing for shipment, but the Pokemon game just says ""shipping soon"". || @AmazonHelp But the gane was supposed to ship YESTERDAY to arrive tomorrow and still no update on the order page, I've checked several times today.
I preordered with you all because my other preorder won't arrive tomorrow and I was hoping with you guys I would get it on release date.",delivery_shipping,order_cancellation,0.6886,3,0,0.3333333333333333,22.04,0,1,1,1,RAG03482,RAG02918,prime_membership,0.5859,RAG04639,delivery_shipping,0.5787,RAG00015,delivery_shipping,0.5539,RAG04932,delivery_shipping,0.5537,RAG02233,account_access,0.5403,RAG00376,delivery_shipping,0.5366,RAG02931,prime_membership,0.5335,RAG04972,prime_membership,0.5318,RAG00265,delivery_shipping,0.5318
GLD0030,2356748,@AmazonHelp I have had it happen in the past. I put my shipping address and on occasions like this I get a 'delivered' notice with a 'pick up' had I known that would happen I wouldn't have ordered. || @AmazonHelp well..it happened again...the tablecloth I was waiting for all day to arrive for tomorrow I got notification it is delayed at 6 PM...how do I find one this late? Amazon has been screwing up big time,delivery_shipping,delivery_shipping,0.7007,1,1,1.0,21.72,1,1,1,1,RAG00326,RAG00159,delivery_shipping,0.6985,RAG00244,delivery_shipping,0.6898,RAG02486,account_access,0.6881,RAG00200,delivery_shipping,0.688,RAG00068,delivery_shipping,0.6865,RAG00135,delivery_shipping,0.6798,RAG00284,delivery_shipping,0.6786,RAG03413,technical_app,0.678,RAG00127,delivery_shipping,0.6778
GLD0031,2888198,"@AmazonHelp I’ve ordered something from you guys and someone from your team assured me that it will get delivered by today as I need this today only but I’ve not received the product || @AmazonHelp You guys are so pathetic
I’ve just asked to deliver it one day before it’s estimated delivery time and you guys returned my product back
I needed it today and now you can’t even deliver on your estimated delivery date that is tomorrow",delivery_shipping,delivery_shipping,0.7341,1,1,1.0,20.53,1,1,1,1,RAG00424,RAG00265,delivery_shipping,0.7284,RAG00039,delivery_shipping,0.7248,RAG00135,delivery_shipping,0.7183,RAG04185,general_support,0.7149,RAG00159,delivery_shipping,0.7127,RAG02918,prime_membership,0.7122,RAG04639,delivery_shipping,0.7099,RAG00374,delivery_shipping,0.7034,RAG04887,delivery_shipping,0.7034
GLD0032,2478845,"@AmazonHelp was supposed to be delivered on Saturday, haven’t received package yet! last two weeks has been horrible, please switch to reliable carrier. || @AmazonHelp I haven't received any emails explaining why order is delayed. My concern is larger trend emerging in last few months. This is 3rd occurrence of delayed order in last 2 weeks. I would appreciate someone senior in shipping dept. can take responsibility to investigate with USPS.",delivery_shipping,delivery_shipping,0.8081,1,1,1.0,19.4,1,1,1,1,RAG00200,RAG00250,delivery_shipping,0.8068,RAG00326,delivery_shipping,0.801,RAG00391,delivery_shipping,0.7975,RAG04781,general_support,0.7964,RAG00233,delivery_shipping,0.7925,RAG00027,delivery_shipping,0.7878,RAG00159,delivery_shipping,0.7842,RAG02486,account_access,0.7825,RAG00100,delivery_shipping,0.7816
GLD0033,470816,"@AmazonHelp I have provided additional details and what did you find about this late delivery? || @AmazonHelp You did not provide any explanation for the delayed delivery. 

Your e-mail is useless and does nothing and please do not waste my time with useless e-mails like this.

Why the order was delivered after one week of delay?",delivery_shipping,delivery_shipping,0.8213,1,1,1.0,16.78,1,1,1,1,RAG00200,RAG03413,technical_app,0.7935,RAG00326,delivery_shipping,0.7908,RAG00100,delivery_shipping,0.784,RAG00204,delivery_shipping,0.7769,RAG00848,payment,0.7757,RAG00391,delivery_shipping,0.7685,RAG00636,payment,0.7661,RAG00167,delivery_shipping,0.765,RAG00019,delivery_shipping,0.763
GLD0034,2432769,"@AmazonHelp I already did, you guys told me that in order to get a refund USPS will need to send back the package, but they ""delivered"" to who tf knows? Cuz it wasn't me and they won't give me a pod. I don't live in USA so I can't place a police report. So frustrating. || @AmazonHelp It never arrived to them. They moved so the building was empty, USPS instead of take it back as undeliverable, put it as delivered and did whatever, they say because there is no insurance they won't do anything, you say if I don't go to the police you won't do anything. So... https://t.co/1V97qgIurE || @AmazonHelp More copy &amp; paste answers I see, how can I fill a police report if I'm not in USA? Can you do it? If so go ahead, because tbh idk how did we get to a point in which I pay for a product, YOU lose it and somehow I have to figure it out? ???????? #fail https://t.co/gYN2rutKzH || @AmazonHelp ALREADY DID AND NO HELP WHATSOEVER!! First it takes forever to get a reply, and when you get a reply is just as you: copy and paste answers, with little help and empathy. Every time I get a different person, you'll think I would be escalated to a supervisor by now but nah..",delivery_shipping,delivery_shipping,0.9075,1,1,1.0,36.5,1,1,1,1,RAG00407,RAG00214,delivery_shipping,0.6636,RAG01196,refund,0.6586,RAG04929,refund,0.6446,RAG04632,order_cancellation,0.6412,RAG00258,delivery_shipping,0.6393,RAG02780,prime_membership,0.636,RAG00375,delivery_shipping,0.6283,RAG02932,prime_membership,0.6245,RAG01167,refund,0.6223
